시도명,시군구명,행정동명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
서울특별시,마포구,신수동,22493,4807,6377,8443,10362,12193,21.37,28.35,37.54,46.07,54.21
서울특별시,마포구,서강동,24968,4812,6484,8503,10446,12403,19.27,25.97,34.06,41.84,49.68
서울특별시,마포구,서교동,24952,4626,5989,7712,9468,11345,18.54,24.00,30.91,37.94,45.47
서울특별시,마포구,합정동,17287,3763,4879,6127,7324,8683,21.77,28.22,35.44,42.37,50.23
서울특별시,마포구,망원제1동,19937,4710,6012,7655,9134,10754,23.62,30.15,38.40,45.81,53.94
서울특별시,마포구,망원제2동,18520,4370,5610,7227,8833,10353,23.60,30.29,39.02,47.69,55.90
서울특별시,마포구,연남동,14934,3279,4126,5224,6276,7427,21.96,27.63,34.98,42.02,49.73
서울특별시,마포구,성산제1동,18912,4227,5461,7086,8748,10277,22.35,28.88,37.47,46.26,54.34
서울특별시,마포구,성산제2동,39526,8717,11339,14666,17864,20765,22.05,28.69,37.10,45.20,52.54
서울특별시,마포구,상암동,30657,5921,7832,10655,13813,16465,19.31,25.55,34.76,45.06,53.71
서울특별시,양천구,목1동,30552,5101,7082,10133,13697,16721,16.70,23.18,33.17,44.83,54.73
서울특별시,양천구,목2동,29829,6570,8880,11363,13641,15896,22.03,29.77,38.09,45.73,53.29
서울특별시,양천구,목3동,21874,5297,7082,8862,10398,12005,24.22,32.38,40.51,47.54,54.88
서울특별시,양천구,목4동,25265,4989,7075,9861,12347,14136,19.75,28.00,39.03,48.87,55.95
서울특별시,양천구,목5동,41022,7317,10062,14128,18990,22853,17.84,24.53,34.44,46.29,55.71
서울특별시,양천구,신월1동,20397,6465,8317,10152,11668,13072,31.70,40.78,49.77,57.20,64.09
서울특별시,양천구,신월2동,20555,5760,7335,9009,10612,12239,28.02,35.68,43.83,51.63,59.54
서울특별시,양천구,신월3동,15097,4561,5999,7359,8416,9407,30.21,39.74,48.74,55.75,62.31
서울특별시,양천구,신월4동,17806,4892,6234,7705,9084,10678,27.47,35.01,43.27,51.02,59.97
서울특별시,양천구,신월5동,14574,3810,5009,6268,7338,8476,26.14,34.37,43.01,50.35,58.16
서울특별시,양천구,신월6동,13821,2889,3849,4923,5929,7148,20.90,27.85,35.62,42.90,51.72
서울특별시,양천구,신월7동,19600,6309,8058,9753,11126,12483,32.19,41.11,49.76,56.77,63.69
서울특별시,양천구,신정1동,20227,4039,5603,7494,9517,11470,19.97,27.70,37.05,47.05,56.71
서울특별시,양천구,신정2동,19415,4076,5586,7543,9597,11229,20.99,28.77,38.85,49.43,57.84
서울특별시,양천구,신정3동,49922,11456,15364,20127,24553,28453,22.95,30.78,40.32,49.18,56.99
서울특별시,양천구,신정4동,32844,8644,11133,14028,16477,18982,26.32,33.90,42.71,50.17,57.79
서울특별시,양천구,신정6동,24508,4463,6387,8853,11294,13414,18.21,26.06,36.12,46.08,54.73
서울특별시,양천구,신정7동,28874,7396,9823,12563,15201,17459,25.61,34.02,43.51,52.65,60.47
서울특별시,강서구,염창동,41563,7113,9713,13066,16775,20577,17.11,23.37,31.44,40.36,49.51
서울특별시,강서구,등촌제1동,24438,4357,5779,7405,8971,10721,17.83,23.65,30.30,36.71,43.87
서울특별시,강서구,등촌제2동,20126,4868,6452,8105,9508,11045,24.19,32.06,40.27,47.24,54.88
서울특별시,강서구,등촌제3동,30527,9912,12566,14870,16737,18685,32.47,41.16,48.71,54.83,61.21
서울특별시,강서구,화곡제1동,51877,12500,16140,19717,23184,27116,24.10,31.11,38.01,44.69,52.27
서울특별시,강서구,화곡제2동,17729,4266,5619,7106,8577,10036,24.06,31.69,40.08,48.38,56.61
서울특별시,강서구,화곡제3동,21517,6038,7528,9201,10772,12370,28.06,34.99,42.76,50.06,57.49
서울특별시,강서구,화곡제4동,20513,5726,7316,9015,10575,12232,27.91,35.67,43.95,51.55,59.63
서울특별시,강서구,화곡본동,34263,7452,9726,12283,14881,17684,21.75,28.39,35.85,43.43,51.61
서울특별시,강서구,화곡제6동,24943,6121,8031,9954,11692,13485,24.54,32.20,39.91,46.87,54.06
